Text,Question,Answer,Template
"Sometimes two elevators are built so that their cars always move synchronously in opposite directions , and are each other 's counterweight .","What is the purpose of sometimes building two lifts?","so that their cars always move synchronously in opposite directions , and are each other 's counterweight","AmPncQgTemplate"
"In response to the pressure on Hot AC , a new kind of AC format cropped up among American radio recently .","Why has a new kind of AC format appeared on American radio lately?","In response to the pressure on Hot AC","AmCauQgTemplate"
"[ clarification needed ] It is played down that this "" invisible hand "" acts only "" frequently "" and that it is "" no part of his [ the individual 's ] intentions "" because competition leads to lower prices by imitating "" his "" invention .","Why isn't that part of his intent? '","because competition leads to lower prices by imitating "" his "" invention","AmCauQgTemplate"
"As a consequence , the ability of these states to borrow new money to further finance their budget deficits or to refinance existing unsustainable debt levels was strongly reduced .","To what end do these countries borrow new money?","to further finance their budget deficits or to refinance existing unsustainable debt levels","AmPncQgTemplate"
"Each character has a set number of brushstrokes ; none must be added or taken away from the character to enhance it visually , lest the meaning be lost .","To what end can no one be added, lest the meaning be lost?","to enhance it visually","AmPncQgTemplate"
"Due to its position between two unfriendly neighbours , Armenia has close security ties with Russia .","Why does Armenia have a close security relationship with Russia?","Due to its position between two unfriendly neighbours","AmCauQgTemplate"
"In the first half of the 20th century , many African Americans left the state to go North for better opportunities , in the Great Migration .","To what end did many African-Americans leave the state in the first half of the twentieth century?","to go North for better opportunities","AmPncQgTemplate"
"In the first half of the 20th century , many African Americans left the state to go North for better opportunities , in the Great Migration .","To what end did many African-Americans migrate north during the Great Migration?","for better opportunities","AmPncQgTemplate"
"Virgil is credited[by whom ? ] in the Eclogues with establishing Arcadia as a poetic ideal that still resonates in Western literature and visual arts and setting the stage for the development of Latin pastoral by Calpurnius Siculus , Nemesianus , and later writers .","What is the purpose of the stage?","for the development of Latin pastoral by Calpurnius Siculus , Nemesianus , and later writers","AmPncQgTemplate"
"Serious financial damage has been caused by security breaches , but because there is no standard model for estimating the cost of an incident , the only data available is that which is made public by the organizations involved .","Why are the only data published by the organisations involved?","because there is no standard model for estimating the cost of an incident","AmCauQgTemplate"
"A novelty shop called Au Bon Marche had been founded in Paris in 1838 to sell lace , ribbons , sheets , mattresses , buttons , umbrellas and other assorted goods .","To what end was a new shop called Au Bon Marche founded in Paris in 1838?","to sell lace , ribbons , sheets , mattresses , buttons , umbrellas and other assorted goods","AmPncQgTemplate"
"The mammalian brain invested heavily in olfaction to succeed at night as reptiles slept — one explanation for why olfactory lobes in mammalian brains are proportionally larger than in the reptiles .","To what end did the mammalian brain invest heavily in odor?","to succeed at night as reptiles slept","AmPncQgTemplate"
